編號	地址
60161 >>> 高雄市鳳山區鳳松路40號
60164 >>> 高雄市鹽埕區七賢三路152號
60169 >>> 高雄市鳳山區五甲一路203號 
60173 >>> 高雄市鳳山區三商街165號
60174 >>> 高雄市鳳山區三民路206號
60178 >>> 高雄市林園區林園南路97號
60179 >>> 高雄市大寮區萬丹路27號
60182 >>> 屏東縣屏東市復興南路二段239號
60183 >>> 屏東縣屏東市光復路159之2號
60187 >>> 高雄市三民區同協路121號
60191 >>> 高雄市鳳山區南華路144號
60192 >>> 高雄市小港區康莊路57號
60203 >>> 高雄市鳳山區光復路一段5號
60205 >>> 高雄市小港區小港路258巷8之1號
60211 >>> 高雄市大社區中山路412號
60213 >>> 屏東縣屏東市忠孝路237號
60216 >>> 高雄市左營區左營大路407號
60219 >>> 高雄市左營區文德路158號
60230 >>> 高雄市楠梓區朝明路15號
60232 >>> 高雄市楠梓區楠梓路136號
60258 >>> 高雄市梓官區大舍東路106號
60266 >>> 高雄市橋頭區里林東路興樹巷13號
60274 >>> 高雄市小港區二苓路153號
60275 >>> 高雄市小港區岐山一路83號
60283 >>> 高雄市大寮區鳳林三路560號
60284 >>> 高雄市林園區鳳林路二段1038之2號
60285 >>> 高雄市仁武區林園南路10號
60290 >>> 屏東縣東港鎮中正路一段273號
60302 >>> 高雄市岡山區岡燕路202號
60304 >>> 高雄市大樹區中興北路287-15號
60307 >>> 屏東縣里港鄉里嶺路124號附近
60316 >>> 台南市南區三和街19號
60319 >>> 屏東縣里港鄉春林村里中路28號
60329 >>> 屏東縣里港鄉春林村里港路140號
60333 >>> 高雄市大樹區九曲路北極巷75號
60334 >>> 屏東縣屏東市瑞光里香揚巷1之60號
60345 >>> 屏東縣屏東市重慶路109-1號
60353 >>> 台南市永康區永大路二段1416號前
60365 >>> 屏東縣萬巒鄉赤山村東山路7號
60378 >>> 嘉義市東區長竹里水源地33之6號附1
60384 >>> 嘉義縣中埔鄉金蘭村頂山門43之4號
60386 >>> 嘉義縣竹崎鄉灣橋村灣橋211之1號1樓
60394 >>> 嘉義縣大林鎮中林里98之12號
60397 >>> 嘉義縣竹崎鄉灣橋村埤堂58-9號
60404 >>> 嘉義市西區蘭井街230號
60413 >>> 雲林縣北港鎮東興路183之2號
60414 >>> 大林鎮三村里橋子頭1-11號1樓
60417 >>> 嘉義縣大林鎮過溪里4鄰過溪51號
59141 >>> 彰化縣彰化市一新東街3-1號
57534 >>> 台北市松山區八德路四段363號1樓
57848 >>> 台北市南港區興南街68號1樓
58954 >>> 台中市東區樂業二路建國市場1樓

