 編號		店家名稱
23191 >>> 台企ATM(開元分行)
24144 >>> 台企ATM(高雄分行)
24575 >>> 第一銀行ATM(五甲分行)
25415 >>> 彰化銀行ATM(東港分行)
15663 >>> 臺北古亭30支郵局ATM
17600 >>> 上海銀行ATM-OK超商深坑埔新
17732 >>> 聯邦銀行ATM-OK超商基隆武德店
17735 >>> 聯邦銀行ATM-OK超商基隆樂一店
17779 >>> 聯邦銀行ATM-OK超商汐止社后店
17781 >>> 聯邦銀行ATM-OK超商汐止福德店
17782 >>> 聯邦銀行ATM-OK超商汐止社福店
17826 >>> 聯邦銀行ATM-OK超商汐止厚德店
17903 >>> 聯邦銀行ATM-OK超商基隆建心店
17932 >>> 聯邦銀行ATM-OK超商宜蘭權新店
18016 >>> 聯邦銀行ATM-OK超商板橋自由店
18057 >>> 聯邦銀行ATM-OK超商板橋溪北店
18113 >>> 聯邦銀行ATM-OK超商汐止明峰店
18119 >>> 聯邦銀行ATM-OK超商汐止大同店
18190 >>> 聯邦銀行ATM-OK超商基隆過港店
18362 >>> 聯邦銀行ATM-OK超商新店建中店
18371 >>> 聯邦銀行ATM-OK超商新店忠誠店
18561 >>> 聯邦銀行ATM-OK超商欣興山鶯店
18603 >>> 聯邦銀行ATM-OK超商桃園建國店
18666 >>> 聯邦銀行ATM-OK超商永和四維店
18679 >>> 聯邦銀行ATM-OK超商中和宜安店
18710 >>> 聯邦銀行ATM-OK超商中和民利店
19040 >>> 聯邦銀行ATM-OK超商中壢精忠店
19105 >>> 聯邦銀行ATM-OK超商三重中正南店
19201 >>> 聯邦銀行ATM-OK超商蘆洲民族店
19314 >>> 聯邦銀行ATM-OK超商新莊四維店
19405 >>> 聯邦銀行ATM-OK超商新莊建中店
19477 >>> 聯邦銀行ATM-OK超商泰山台麗店
19511 >>> 聯邦銀行ATM-OK超商泰山泰林店
19519 >>> 聯邦銀行ATM-OK超商新莊昌平店
19747 >>> 聯邦銀行ATM-OK超商超商淡水站前店
19811 >>> 聯邦銀行ATM-OK超商三芝三民店
19868 >>> 聯邦銀行ATM-OK超商平鎮環南店
19873 >>> 聯邦銀行ATM-OK超商平鎮平東店
19882 >>> 聯邦銀行ATM-OK超商平鎮新榮店
19892 >>> 聯邦銀行ATM-OK超商平鎮金陵店
19972 >>> 聯邦銀行ATM-OK超商桃縣福州店
20078 >>> 聯邦銀行ATM-OK超商中壢徐州店
20098 >>> 聯邦銀行ATM-OK超商中壢永福店
20110 >>> 聯邦銀行ATM-OK超商中壢雙連店
20114 >>> 聯邦銀行ATM-OK超商中壢月眉店
20206 >>> 聯邦銀行ATM-OK超商龍潭龍元店
20261 >>> 聯邦銀行ATM-OK超商平鎮湧光店
20275 >>> 聯邦銀行ATM-OK超商楊梅中華店
20337 >>> 聯邦銀行ATM-OK超商楊梅立同店
20453 >>> 聯邦銀行ATM-OK超商大溪員樹林店
20488 >>> 聯邦銀行ATM-OK超商大園三民店
20517 >>> 聯邦銀行ATM-OK超商觀音草漯店
20519 >>> 聯邦銀行ATM-OK超商觀音信義店
20580 >>> 聯邦銀行ATM-OK超商桃園武陵店
20657 >>> 聯邦銀行ATM-OK超商龜山山鶯店
20726 >>> 聯邦銀行ATM-OK超商桃園大有店
20745 >>> 聯邦銀行ATM-OK超商桃園同德店
20875 >>> 聯邦銀行ATM-OK超商台中美德店
20878 >>> 聯邦銀行ATM-OK超商台中太原店
20971 >>> 聯邦銀行ATM-OK超商台中光復店
21028 >>> 聯邦銀行ATM-OK超商台中居仁店
21094 >>> 聯邦銀行ATM-OK超商台中華美店
21156 >>> 聯邦銀行ATM-OK超商太平中平店
21366 >>> 聯邦銀行ATM-OK超商台中梅亭店
21384 >>> 聯邦銀行ATM-OK超商台中文心店
21493 >>> 聯邦銀行ATM-OK超商台中福上店
21507 >>> 聯邦銀行ATM-OK超商台中福星店
21535 >>> 聯邦銀行ATM-OK超商台中大連店
21539 >>> 聯邦銀行ATM-OK超商台中和祥店
21582 >>> 聯邦銀行ATM-OK超商台中逢甲店
21818 >>> 聯邦銀行ATM-OK超商太平勤益店
21819 >>> 聯邦銀行ATM-OK超商台中永成店
21902 >>> 聯邦銀行ATM-OK超商成功嶺一店
21967 >>> 聯邦銀行ATM-OK超商彰化福安德店
21968 >>> 聯邦銀行ATM-OK超商大里東榮店
22239 >>> 聯邦銀行ATM-OK超商台中漢口店
22242 >>> 聯邦銀行ATM-OK超商龍井自強店
22344 >>> 聯邦銀行ATM-OK超商潭子潭興店
23872 >>> 聯邦銀行ATM-OK超商高雄林森店
23959 >>> 聯邦銀行ATM-OK超商高雄大同店
24133 >>> 聯邦銀行ATM-OK超商高雄七賢二店
24561 >>> 聯邦銀行ATM-OK超商高雄飛機店
24581 >>> 聯邦銀行ATM-OK超商鳯山青年店
24897 >>> 聯邦銀行ATM-OK超商大寮仁德店
25453 >>> 聯邦銀行ATM-OK超商高雄美山店
16818 >>> 華南銀行ATM-OK超商北藝大店
15603 >>> 臺北公館郵局ATM
17905 >>> 中國信託ATM 7-11泉發門市
17909 >>> 中國信託ATM 7-11深溝門市
17914 >>> 中國信託ATM 7-11宣宏門市
18392 >>> 中國信託ATM 7-11新明門市
19931 >>> 中國信託ATM 7-11高安門市
19932 >>> 中國信託ATM 7-11金磚門市
19926 >>> 中國信託ATM 7-11富寶門市
19928 >>> 中國信託ATM 7-11正湧門市
19920 >>> 中國信託ATM 7-11高義門市
19921 >>> 中國信託ATM 7-11祥鋐門市
19923 >>> 中國信託ATM 7-11成達門市
19924 >>> 中國信託ATM 7-11明揚門市
19904 >>> 中國信託ATM 7-11瑋特門市
19913 >>> 中國信託ATM 7-11壢達門市
19950 >>> 中國信託ATM 7-11廣泰門市
