編號		地址
40922 >>> 桃園市楊梅區中山北路1段260.262.264號
40914 >>> 桃園市楊梅區新農街17號
40980 >>> 桃園市楊梅區民族路五段219號
41076 >>> 桃園市楊梅區梅獅路二段25號
42382 >>> 高雄市鹽埕區七賢三路6號
41927 >>> 台南市北區公園路798號號1樓
42366 >>> 高雄市燕巢區中民路709之3號
42340 >>> 高雄市楠梓區德民路838號
40172 >>> 新北市板橋區南雅南路二段122-23號
40859 >>> 宜蘭縣宜蘭市中山路五段129號
40329 >>> 宜蘭縣頭城鎮開蘭路149號B1
40742 >>> 宜蘭縣宜蘭市泰山路332號
39725 >>> 台北市松山區三民路108號
39717 >>> 台北市松山區八德路三段106巷1號
39721 >>> 台北市松山區健康路243號
39719 >>> 台北市松山區光復北路11巷99號
39610 >>> 台北市松山區民權東路三段140巷15號
39706 >>> 台北市松山區健康路399號
39606 >>> 台北市中山區合江街137號
40129 >>> 新北市三重區三和路四段380號B1
40630 >>> 新北市三重區三和路二段139號
40405 >>> 新北市三重區仁義街95號
40641 >>> 新北市三重區仁愛街278、286號
39566 >>> 新北市三重區中正南路248號
39565 >>> 新北市三重區中正北路70號
39576 >>> 新北市三重區中正北路592號
40307 >>> 新北市三重區龍門路6-1號
40445 >>> 新北市三重區捷運路39、41號
40647 >>> 新北市三重區集美街18-7號
40629 >>> 新北市三重區力行路一段54號
40151 >>> 新北市三重區重新路二段78號之21號
40446 >>> 新北市三重區重安街70號
40799 >>> 新北市三芝區中興街二段71號
40550 >>> 新北市三峽區中華路95號
40507 >>> 新北市三峽區中正路二段109、111號
40514 >>> 新北市三峽區學成路97、99號
40504 >>> 新北市三峽區和平街65號B1
40501 >>> 新北市三峽區光明路59.61.63號
40502 >>> 新北市樹林區學勤路211號
42418 >>> 高雄市三民區鼎力路15、17、19、21號
42413 >>> 高雄市三民區褒揚街285號
41778 >>> 南投縣草屯鎮中正路557之19-5號
41780 >>> 南投縣草屯鎮虎山路500-1-4號
41779 >>> 南投縣草屯鎮信義街368號
42579 >>> 高雄市左營區文康路85號
42409 >>> 高雄市左營區自由二路325-1號
42339 >>> 高雄市楠梓區後昌路838號
42358 >>> 高雄市左營區華夏路1255號
42578 >>> 高雄市左營區富國路87號
42523 >>> 高雄市梓官區中正路75號
42528 >>> 高雄市梓官區中崙路231號
42404 >>> 高雄市前鎮區崗山西街206號
40017 >>> 新北市瑞芳區中正路81號1-3樓
42599 >>> 高雄市仁武區永仁街352號
42535 >>> 高雄市仁武區中華路190號
42586 >>> 高雄市仁武區霞海路46、48號
42600 >>> 高雄市仁武區霞海路46、48號
42598 >>> 高雄市仁武區鳳仁路1之52號
42603 >>> 高雄市仁武區八德南路475、479號
42459 >>> 高雄市仁武區八德中路52、56、58、60號
41908 >>> 台南市仁德區中清路167、169號
40542 >>> 新北市樹林區樹德街35號
40245 >>> 新北市樹林區中山路一段29-1號
40540 >>> 新北市樹林區佳園路一段41巷1號
40515 >>> 新北市樹林區保安街一段183號
42811 >>> 屏東縣屏東市勝利東路41號
41643 >>> 台中市神岡區昌平路5段313巷1號
41691 >>> 台中市神岡區中山路832號
41693 >>> 台中市神岡區中正路21號
40077 >>> 新北市深坑區平埔街22巷8號
41919 >>> 台南市善化區忠孝路66號
41914 >>> 台南市善化區中正路419號
42772 >>> 彰化縣社頭鄉民生路702號
41346 >>> 台中市沙鹿區中山路434號
41727 >>> 台中市沙鹿區鎮南路二段46號
41705 >>> 台中市沙鹿區北勢東路516號
41391 >>> 台中市沙鹿區大同街119之1號
39865 >>> 台北市士林區社正路59號
39867 >>> 台北市士林區士東路23號
39851 >>> 台北市士林區忠誠路一段177號
39548 >>> 台北市士林區中正路115號
39864 >>> 台北市士林區忠誠路一段56號
39861 >>> 台北市士林區後港街30號
39838 >>> 台北市士林區德行東路109巷104號
39869 >>> 台北市士林區德行東路331巷35號
39863 >>> 台北市士林區大南路315號
