 編號		店家名稱
50640 >>> 發一天元長聖佛宮
50641 >>> 集福宮福德正神
50642 >>> 北后寺
50643 >>> 北巡天龍宮（辦事、問事）隨喜功德
50644 >>> 淡水福佑宮
50645 >>> 九天玄女宮
50646 >>> 菩薩寺
50647 >>> 板橋五龍山鳳山寺
50648 >>> 靈光禪寺
50649 >>> 慈雲寺
50650 >>> 大佛寺
50652 >>> 妙雲宮
50653 >>> 板橋集靈祠
50654 >>> 接源堂
50655 >>> 同安壇
50657 >>> 大眾廟
50658 >>> 板橋慈后宮-天上聖母
50659 >>> 板橋菩提院
50661 >>> 奉慈宮
50662 >>> 板橋慈安宮
50663 >>> 保華宮
50664 >>> 迪毅堂
50665 >>> 板橋聖天宮
50666 >>> 真武廟
50667 >>> 板橋北極壇 上帝公廟
50668 >>> 觀音廟
50669 >>> 板橋萬安玄聖宮
50670 >>> 板橋保安宮潮和宮
50672 >>> 板橋紫玉宮
50673 >>> 水仙宮
50675 >>> 板橋東安宮
50678 >>> 孚聖宮
50679 >>> 土地公(深丘福德宮)
50680 >>> 板橋二聖宮 (王母娘娘)
50681 >>> 板橋震威宮
50682 >>> 玉敕廣信天師府
50683 >>> 廣德里板橋福德祠
50684 >>> 板橋鎮安宮
50685 >>> 板橋市沙崙潤德宮
50686 >>> 板橋永鎮宮劉府元帥
50687 >>> 浮洲福德宮
50688 >>> 聖成宮管理委員會
50689 >>> 板橋埔墘福德宮
50691 >>> 港口奉天宮
50692 >>> 湳仔庒福興宮
50693 >>> 中壇元帥
50694 >>> 板橋金興宮
50695 >>> 板橋九玄宮
50696 >>> 三抱竹聚安宮
50697 >>> 土地公(埤墘福德宮)
50698 >>> 板橋新海福德宮-福德正神
50699 >>> 海濤慈悲基金會
50700 >>> 板橋新埔正聖福德宮
50701 >>> 後埔福德宮
50702 >>> 板橋區港仔嘴福德宮
50703 >>> 慈航太子宮
50707 >>> 收圓分道場板橋 廣玄宮
50708 >>> 板橋福安宮-福德正神
50709 >>> 福天宮
50710 >>> 板橋歡仔園順天宮
50711 >>> 顯安宮
50712 >>> 保安廣澤宮
50713 >>> 板橋無極觀皇宮
50714 >>> 社團法人台灣色拉傑遍知佛學會
50715 >>> 板橋鎮發宮
50716 >>> 板橋四面佛
50718 >>> 佛影禪院
50719 >>> 板橋北極宮-北極玄天上帝
50721 >>> 北門福德宮
50722 >>> 崁頭厝福德宮
50723 >>> 天上聖母
50726 >>> 中和 五聖靈濟寺
50728 >>> 中和慈雲寺
50729 >>> 板橋觀音亭
50731 >>> 新莊廣福宮
50732 >>> 潮江寺
50733 >>> 霹靂宮
50734 >>> 土城瑞坤宮-天上聖母
50735 >>> 大觀義學
50736 >>> 甘露寺
50737 >>> 海山宮
50739 >>> 中和北聖宮
50740 >>> 新莊慈惠堂
50741 >>> 新莊文昌祠
50742 >>> 智光禪寺
50744 >>> 寶纈禪寺
50745 >>> 財團法人新北市中和廣濟宮
50746 >>> 覺苑寺
50747 >>> 蘆洲真久宮
50748 >>> 慈聖宮
50749 >>> 土城三元宮
50750 >>> 上玄道院
50751 >>> 土地公廟
50752 >>> 北海宮
50753 >>> 八里大眾廟
50754 >>> 印月禪寺
50756 >>> 鎮南宮
50758 >>> 後港昭德宮
50759 >>> 寶光崇正光明佛堂
50761 >>> 三峽興隆宮媽祖廟
50762 >>> 中和受鎮宮
50763 >>> 楓樹湖慈德廟蘇許仙童公
50764 >>> 永和普天宮
50765 >>> 宰樞廟
50766 >>> 三重義天宮
50767 >>> 新莊聖武堂
50768 >>> 竟南宮(仙公廟)
50769 >>> 永寧福德宮
50771 >>> 慈誠寺
50772 >>> 土城妙慧堂 觀音佛祖 濟公禪師 天上聖母
50773 >>> 聖媽宮
50774 >>> 雙溪三忠廟
50776 >>> 黃帝神宮
50777 >>> 孔雀山開成寺
50778 >>> 烏來福德宮
50779 >>> 孔雀明王寺(開成別院)
50780 >>> 靈泉寺
50782 >>> 萬里昭靈宮
50785 >>> 韋馱寺
50787 >>> 福德祠
50788 >>> 漁澳順天宮
50791 >>> 頂社福德宮
50794 >>> 大鵬天護宮三官大帝
50796 >>> 野柳保安宮開漳聖王
50798 >>> 忠福宮
50800 >>> 玄武宮
50801 >>> 野柳仁和宮周倉將軍
50803 >>> 龜吼保民宮
50809 >>> 福安宮
50811 >>> 鎮北宮
50812 >>> 聖覺寺
50813 >>> 福興宮
50815 >>> 龜吼福安宮
50817 >>> 成功新邨福德宮
50819 >>> 漁澳福德宮
50822 >>> 昭應侯廟-許氏祖廟
50824 >>> 萬里慈月宮
50825 >>> 福德宮
50826 >>> 承天宮
50827 >>> 福德宮
50828 >>> 萬里聖靈宮
50830 >>> 鎮天宮
50831 >>> 金包里慈護宮
50837 >>> 天護宮
50838 >>> 廣修禪寺
50841 >>> 基隆華山五龍湖靜修寺
50842 >>> 萬聖宮
50843 >>> 金山禪寺
50844 >>> 開漳聖王（金山廣安宮）
50845 >>> 法鼓山世界佛教教育園區
50847 >>> 武英殿
50848 >>> 大雄寶殿
50849 >>> 十方大覺禪寺
50850 >>> 仙洞巖最勝寺
50851 >>> 佛來寺
50852 >>> 嚴放寺
50853 >>> 法淨山九天玄女廟
50854 >>> 七堵區清湶寺
50855 >>> 佛光禪寺
50856 >>> 基隆市佛教蓮社
50857 >>> 夫子廟 ( 關聖帝君、池府千歲)
50859 >>> 平溪大香山觀音禪寺
50860 >>> 佛祖嶺慈雲寺觀音菩薩
50861 >>> 碧華寺
50864 >>> 百年土地公廟
50865 >>> 法濟寺
50868 >>> 靜修寺
50870 >>> 聖德福龍廟
50871 >>> 汐止巧聖仙師廟
50872 >>> 普學禪寺
50873 >>> 八連路福德廟
50874 >>> 龍華山大觀寺
50875 >>> 南山放生寺
50876 >>> 瑞慈宮
50878 >>> 無天禪寺
50880 >>> 天乙寺
50882 >>> 中和紫竹寺
50883 >>> 汐止福恩廟
50884 >>> 觀宗寺
50885 >>> 福安廟
50887 >>> 金剛宮四面佛（位於全台最北端）
50889 >>> 大陳義胞觀音寺
50890 >>> 樹林福慧寺
50891 >>> 聖德宮
50892 >>> 基隆哨船頭覺修宮
50894 >>> 天岳山法雲禪寺
50896 >>> 禪光寺
50897 >>> 圓通佛導眾寺
50899 >>> 財團法人樹林鎮南宮（千歲廟）
50900 >>> 三芝福成宮
50901 >>> 先嗇宮
50902 >>> 雷興寺仙公廟孚佑帝君
50904 >>> 拱南宮
50905 >>> 蘆洲 受玄宮
50907 >>> 代明宮
50908 >>> 昭明宮
50909 >>> 聖安慈惠堂
50913 >>> 紫微天后宮
50914 >>> 南海寺
50915 >>> 嶺頭福德宮
50916 >>> 新莊地藏殿
50917 >>> 桃園慈護宮
50918 >>> 公館崙福德宮
50920 >>> 天龍宮
50925 >>> 金山保安宮福德正神
50926 >>> 金山虛空聖寶殿
50929 >>> 石門洞五龍宮
50939 >>> 後街仔晉德宮助順將軍
50940 >>> 蘆洲普庵寺
50941 >>> 淡水聖江廟
50942 >>> 渡船頭土地公廟
50947 >>> 佛光山擇善寺
50948 >>> 慈音寺
50950 >>> 慈雲寺
50951 >>> 金山寺
50953 >>> 水湳洞威遠廟
50955 >>> 八里開臺天后宮
50956 >>> 蕭府王爺廟
50957 >>> 平安齋廟
50958 >>> 金泉寺
50959 >>> 龍文禪寺
50960 >>> 新莊廣濟寺
50961 >>> 月老仙翁廟
50962 >>> 金山寺
50963 >>> 樹林山佳紅藏寺
50964 >>> 保和宮
50965 >>> 九份金山岩
50966 >>> 淡水清水巖
50967 >>> 淡水無極天元宮
50968 >>> 永福岩清水祖師廟
50970 >>> 新莊擎天府五府千歲
50971 >>> 新莊福德祠
50972 >>> 鶯歌王公廟
50974 >>> 福祐宮
50977 >>> 烘爐地南山福德宮
50978 >>> 玄帝宮
