 編號		店家名稱
51758 >>> 土地公(雙巷福德宮)
51761 >>> 明園大佛寺
51762 >>> 觀音山潮音洞
51822 >>> 【萬姓公】
51823 >>> 竹頭公
51824 >>> 理教三興堂公所
51828 >>> 三重鎮安亭
51829 >>> 南天府
51830 >>> 普覺寺
51831 >>> 三重果菜市場福德宮
51832 >>> 永福慈惠堂管理委員會
51836 >>> 三重奉天宮
51838 >>> 玄皇宮
51840 >>> 淨光精舍
51857 >>> 鶯歌三湖宮 三官大帝
51858 >>> 靈寶殿
51866 >>> 寶山寺觀音菩薩
51884 >>> 新北市鶯歌區忠義山忠義宮
51886 >>> 大誠宮
51909 >>> 虎頭山景德祠
51924 >>> 和尚港土地公廟
51929 >>> 湧聖宮
51930 >>> 元帥宮
51934 >>> 巧靈宮
51938 >>> 相思廟
51943 >>> 胡公廟
51944 >>> 觀音山大公
51948 >>> 觀音山集福土地公廟
51956 >>> 青天宮開封府
51982 >>> 普中精舍(中台禪寺中壢分院)
51987 >>> 祥光寺
51990 >>> 三聖宮
51991 >>> 啟文宮
51999 >>> 土地公(大普義福德祠)
52008 >>> 忠義宮
52009 >>> 石靈宮
52025 >>> 興南福德祠土地公廟
52033 >>> 財團法人台灣省桃園縣楊梅奉天宮
52034 >>> 天罡佛堂（八仙廟）
52036 >>> 紫竹寺地母廟
52037 >>> 天鳳宮媽祖廟
52038 >>> 貴子坑土地公廟
52040 >>> 西方道堂
52043 >>> 打鼓岩元亨寺
52047 >>> 大崎頭福德宮
52048 >>> 八里泰山觀音堂
52049 >>> 新莊三鳳宮-中壇元帥
52052 >>> 合興宮(土地公廟)
52053 >>> 金山寺
52060 >>> 尊聖宮
52064 >>> 修緣宮
52065 >>> 泰山廟
52067 >>> 千光寺
52069 >>> 龍天觀音寺
52071 >>> 三寶宮
52076 >>> 海天宮
52079 >>> 十方禪林
52082 >>> 九天宮
52083 >>> 地基主廟【福德正神/無主陰公】
52086 >>> 慈玄宮
52088 >>> 水碓街福德宮
52090 >>> 地源宮
52092 >>> 北投里福德宮
52093 >>> 祈福保生宮
52095 >>> 淡水鎮太子廟
52096 >>> 崁頂里【地基主廟】福德正神
52099 >>> 三慈宮
52100 >>> 天寶殿
52101 >>> 賢孝玄聖殿
52103 >>> 妙法紫林園
52106 >>> 庄子內福德宮
52108 >>> 三芝 八仙宮
52109 >>> 清水宮
52110 >>> 三清道祖金鑾殿
52112 >>> 八里無極宮-王母娘娘
52113 >>> 聖和堂
52120 >>> 中山村龍霞寺
52131 >>> 土地公(三林福德祠)
52135 >>> 福德祠
52141 >>> 普陀禪院
52142 >>> 烏樹林水尾福德宮
52144 >>> 石崎伯公
52146 >>> 土地公廟
52151 >>> 泉水福德祠
52152 >>> 三坑子開庄伯公
52153 >>> 聚賢禪寺-聚賢孝恩堂
52154 >>> 竹窩子凌雲岡伯公
52155 >>> 下黃唐福德祠
52157 >>> 福德祠
52158 >>> 三角林富安福德祠
52160 >>> 福林宮
52161 >>> 靜修寺
52166 >>> 慈航觀音禪寺
52167 >>> 八里靜覺寺
52169 >>> 八里龍源里土地公廟
52171 >>> 土地公廟
52175 >>> 南山巖【地藏王寺】
52176 >>> 挖仔尾吳府王爺
52178 >>> 觀音山【福德祠】
52182 >>> 大堀湖 福德宮
52184 >>> 龍隱寺
52194 >>> 福德正神
52202 >>> 福德廟
52203 >>> 土地公(埔心區福德宮)
52204 >>> 楊梅開基玉玄宮
52205 >>> 代天宮
52209 >>> 秘境福德祠
52211 >>> 土地公廟(金福祠)
52212 >>> 富岡廟中廟 老伯公
52213 >>> 山腰福德祠
52217 >>> 福德祠
52221 >>> 梅崗福德祠
52222 >>> 東流里土地公廟
52224 >>> 楊梅大鎮福德祠
52227 >>> 隴西堂
52245 >>> 智成堂
52246 >>> 三芝區後厝里北勢子福德公(土地公廟)
52247 >>> 三芝天靈千手福德宮
52248 >>> 台北太子宮無極聖殿
52249 >>> 三芝永平寺
52250 >>> 三芝開基廣佛寺
52251 >>> 曹洞宗台北別院
52252 >>> 三芝天元皇母宮
52254 >>> 北山車埕福德廟
52255 >>> 北海濟世宮
52257 >>> 北極山 北星真武寶殿
52260 >>> 彌勒大道 文化彌勒佛院
52262 >>> 十方圓滿道場
52263 >>> 淩虛宮
52264 >>> 蓮華寺
52265 >>> 大同寺
52272 >>> 永安寺
52275 >>> 新德宮五路財神廟
52280 >>> 土地公(廣仁伯公)
52285 >>> 觀音堂
52286 >>> 北星玄龍宮
52287 >>> 土地公(圓墩伯公)
52288 >>> 平鎮廣玄宮
52292 >>> 福德祠
52294 >>> 觀音靈宮
52310 >>> 普平精舍
52317 >>> 台灣桑耶寺
52318 >>> 大園臺安宮
52319 >>> 新坡開聖宮
52326 >>> 保安宮
52329 >>> 新屋福興宮
52331 >>> 土地公(坑口里源福宮)
52332 >>> 金剛寺
52333 >>> 五指山盤古廟
52334 >>> 平案宮
52335 >>> 甘泉井
52337 >>> 慈雲寺
52340 >>> 竹南玄龍宮
52353 >>> 大溪 三德宮
52354 >>> 大溪 大艽宮 土地公廟
52361 >>> 福德宮（土地公廟）
52362 >>> 大溪東隆宮
52363 >>> 石門水庫水底土地公廟
52365 >>> 桃源廟
52366 >>> 土地公廟
52368 >>> 慈禪宮
52370 >>> 那是山妙觀寺
52372 >>> 檀林寺
52373 >>> 臺灣玉皇山觀音寺-天官武財廟
52374 >>> 秋山清泉岩
52376 >>> 壽山宮(土地公廟)
52377 >>> 觀音洞
52380 >>> 無極慈母堂草茅
52381 >>> 祈安宮
52388 >>> 法記雷藏寺
52389 >>> 觀音天聖宮
52392 >>> 菩因禪寺
